epoch,dice_loss,acc,iou
10,0.439,76.701,0.413
20,0.556,57.541,0.298
30,0.444,73.806,0.411
40,0.397,77.803,0.467
50,0.641,62.857,0.240
60,0.608,65.338,0.281
70,0.473,71.058,0.385
80,0.399,76.112,0.481
90,0.491,70.448,0.370
100,0.422,76.188,0.455
110,0.464,74.096,0.411
120,0.442,74.126,0.436
130,0.456,73.111,0.421
140,0.516,69.495,0.364
150,0.405,75.196,0.476
160,0.381,75.771,0.507
170,0.487,72.906,0.398
180,0.436,73.811,0.448
190,0.454,72.113,0.428
200,0.458,72.343,0.426
210,0.420,72.637,0.466
220,0.522,67.765,0.335
230,0.347,80.295,0.541
240,0.445,74.250,0.437
250,0.374,76.919,0.510
260,0.396,77.099,0.495
270,0.463,72.505,0.425
280,0.394,76.005,0.494
290,0.510,70.808,0.378
300,0.341,77.854,0.546
