epoch,dice_loss,acc,iou
10,0.655,58.533,0.221
20,0.446,78.757,0.404
30,0.447,78.590,0.403
40,0.397,79.669,0.458
50,0.443,74.001,0.431
60,0.607,60.658,0.267
70,0.391,78.188,0.488
80,0.423,72.772,0.453
90,0.569,68.256,0.317
100,0.677,60.774,0.212
110,0.371,76.054,0.513
120,0.390,77.678,0.501
130,0.444,73.813,0.434
140,0.586,64.133,0.298
150,0.500,67.067,0.379
160,0.446,74.019,0.433
170,0.347,78.750,0.546
180,0.574,66.667,0.307
190,0.812,57.732,0.132
200,0.614,65.108,0.295
210,0.607,65.319,0.297
220,0.671,63.060,0.246
230,0.720,60.470,0.188
240,0.698,61.148,0.212
250,0.557,66.822,0.334
260,0.343,77.775,0.552
270,0.693,61.538,0.225
280,0.568,65.609,0.319
290,0.660,61.673,0.236
300,0.594,64.923,0.296
